HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Non-rotating_L0_N50_Nm200_k12_f021_p10_l0.92_0.1_2
	 Input file read successful
	 Initialising with ellipsoids
	 	 Using evenly spaced mu points
	 	 Min density 3.11383(SI)
	 	 Max density 30942.4(SI)
	 	 AM conservation selected
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
	 	 	23	1.24979e-07	3.29015e+11	9.2775e+06	0	0	-nan
	 	 	24	9.05937e-08	3.29015e+11	9.2775e+06	0	0	-nan
	 	 	25	6.57542e-08	3.29015e+11	9.2775e+06	0	0	-nan
	 	 	26	4.779e-08	3.29015e+11	9.2775e+06	0	0	-nan
	 	 	27	3.47739e-08	3.29015e+11	9.2775e+06	0	0	-nan
	 	 	28	2.53246e-08	3.29015e+11	9.2775e+06	0	0	-nan
	 	 	29	1.8453e-08	3.29015e+11	9.2775e+06	0	0	-nan
	 	 	30	1.34498e-08	3.29015e+11	9.2775e+06	0	0	-nan
	 	 	31	9.80391e-09	3.29015e+11	9.2775e+06	0	0	-nan
	 3	0.00103561	9.2775e+06	0.995692	0.0927234	0.0931246	0	-1.79317e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.29779e+11	9.26425e+06	0	0	-nan
	 	 	2	0.0027129	3.28887e+11	9.26601e+06	0	0	-nan
	 	 	3	0.000735956	3.28645e+11	9.26687e+06	0	0	-nan
	 	 	4	0.000227121	3.2857e+11	9.26732e+06	0	0	-nan
	 	 	5	8.28317e-05	3.28543e+11	9.26758e+06	0	0	-nan
	 	 	6	3.40938e-05	3.28532e+11	9.26776e+06	0	0	-nan
	 	 	7	1.51534e-05	3.28527e+11	9.26788e+06	0	0	-nan
	 	 	8	7.22553e-06	3.28524e+11	9.26798e+06	0	0	-nan
	 	 	9	3.82066e-06	3.28523e+11	9.26805e+06	0	0	-nan
	 	 	10	2.33434e-06	3.28522e+11	9.26811e+06	0	0	-nan
	 	 	11	1.6457e-06	3.28522e+11	9.26815e+06	0	0	-nan
	 	 	12	1.27285e-06	3.28521e+11	9.26819e+06	0	0	-nan
	 	 	13	1.02013e-06	3.28521e+11	9.26821e+06	0	0	-nan
	 	 	14	8.17112e-07	3.28521e+11	9.26823e+06	0	0	-nan
	 	 	15	6.43704e-07	3.28521e+11	9.26825e+06	0	0	-nan
	 	 	16	4.9657e-07	3.2852e+11	9.26826e+06	0	0	-nan
	 	 	17	3.75566e-07	3.2852e+11	9.26826e+06	0	0	-nan
	 	 	18	2.79459e-07	3.2852e+11	9.26827e+06	0	0	-nan
	 	 	19	2.05435e-07	3.2852e+11	9.26827e+06	0	0	-nan
	 	 	20	1.49792e-07	3.2852e+11	9.26827e+06	0	0	-nan
	 	 	21	1.08702e-07	3.2852e+11	9.26828e+06	0	0	-nan
	 	 	22	7.87187e-08	3.2852e+11	9.26828e+06	0	0	-nan
	 	 	23	5.69902e-08	3.2852e+11	9.26828e+06	0	0	-nan
	 	 	24	4.1293e-08	3.2852e+11	9.26828e+06	0	0	-nan
	 	 	25	2.99584e-08	3.2852e+11	9.26828e+06	0	0	-nan
	 	 	26	2.17646e-08	3.2852e+11	9.26828e+06	0	0	-nan
	 	 	27	1.58304e-08	3.2852e+11	9.26828e+06	0	0	-nan
	 	 	28	1.15241e-08	3.2852e+11	9.26828e+06	0	0	-nan
	 	 	29	8.39387e-09	3.2852e+11	9.26828e+06	0	0	-nan
	 4	0.000443306	9.26828e+06	0.99811	0.0614536	0.0615699	0	-3.58633e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.28893e+11	9.26235e+06	0	0	-nan
	 	 	2	0.00133181	3.28456e+11	9.26318e+06	0	0	-nan
	 	 	3	0.00035535	3.28339e+11	9.26359e+06	0	0	-nan
	 	 	4	0.000108615	3.28303e+11	9.2638e+06	0	0	-nan
	 	 	5	3.94237e-05	3.28291e+11	9.26393e+06	0	0	-nan
	 	 	6	1.61654e-05	3.28285e+11	9.26401e+06	0	0	-nan
	 	 	7	7.16185e-06	3.28283e+11	9.26407e+06	0	0	-nan
	 	 	8	3.40625e-06	3.28282e+11	9.26411e+06	0	0	-nan
	 	 	9	1.79748e-06	3.28281e+11	9.26415e+06	0	0	-nan
	 	 	10	1.09651e-06	3.28281e+11	9.26417e+06	0	0	-nan
	 	 	11	7.7223e-07	3.28281e+11	9.26419e+06	0	0	-nan
	 	 	12	5.96917e-07	3.2828e+11	9.26421e+06	0	0	-nan
	 	 	13	4.78241e-07	3.2828e+11	9.26422e+06	0	0	-nan
	 	 	14	3.82985e-07	3.2828e+11	9.26423e+06	0	0	-nan
	 	 	15	3.01661e-07	3.2828e+11	9.26424e+06	0	0	-nan
	 	 	16	2.32678e-07	3.2828e+11	9.26424e+06	0	0	-nan
	 	 	17	1.75956e-07	3.2828e+11	9.26424e+06	0	0	-nan
	 	 	18	1.30911e-07	3.2828e+11	9.26425e+06	0	0	-nan
	 	 	19	9.62208e-08	3.2828e+11	9.26425e+06	0	0	-nan
	 	 	20	7.01477e-08	3.2828e+11	9.26425e+06	0	0	-nan
	 	 	21	5.0897e-08	3.2828e+11	9.26425e+06	0	0	-nan
	 	 	22	3.68516e-08	3.2828e+11	9.26425e+06	0	0	-nan
	 	 	23	2.66747e-08	3.2828e+11	9.26425e+06	0	0	-nan
	 	 	24	1.9324e-08	3.2828e+11	9.26425e+06	0	0	-nan
	 	 	25	1.40171e-08	3.2828e+11	9.26425e+06	0	0	-nan
	 	 	26	1.01814e-08	3.2828e+11	9.26425e+06	0	0	-nan
	 	 	27	7.40404e-09	3.2828e+11	9.26425e+06	0	0	-nan
	 5	0.00018977	9.26425e+06	0.99915	0.0412309	0.041266	0	1.79317e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.28461e+11	9.26154e+06	0	0	-nan
	 	 	2	0.000648161	3.28248e+11	9.26194e+06	0	0	-nan
	 	 	3	0.000171123	3.28192e+11	9.26213e+06	0	0	-nan
	 	 	4	5.19809e-05	3.28175e+11	9.26223e+06	0	0	-nan
	 	 	5	1.88103e-05	3.28169e+11	9.26229e+06	0	0	-nan
	 	 	6	7.69463e-06	3.28166e+11	9.26233e+06	0	0	-nan
	 	 	7	3.40225e-06	3.28165e+11	9.26236e+06	0	0	-nan
	 	 	8	1.61571e-06	3.28165e+11	9.26238e+06	0	0	-nan
	 	 	9	8.51635e-07	3.28164e+11	9.2624e+06	0	0	-nan
	 	 	10	5.19064e-07	3.28164e+11	9.26241e+06	0	0	-nan
	 	 	11	3.65327e-07	3.28164e+11	9.26242e+06	0	0	-nan
	 	 	12	2.82272e-07	3.28164e+11	9.26243e+06	0	0	-nan
	 	 	13	2.26092e-07	3.28164e+11	9.26243e+06	0	0	-nan
	 	 	14	1.81027e-07	3.28164e+11	9.26244e+06	0	0	-nan
	 	 	15	1.42569e-07	3.28164e+11	9.26244e+06	0	0	-nan
	 	 	16	1.09956e-07	3.28164e+11	9.26244e+06	0	0	-nan
	 	 	17	8.31444e-08	3.28164e+11	9.26244e+06	0	0	-nan
	 	 	18	6.18548e-08	3.28164e+11	9.26244e+06	0	0	-nan
	 	 	19	4.54607e-08	3.28164e+11	9.26245e+06	0	0	-nan
	 	 	20	3.31398e-08	3.28164e+11	9.26245e+06	0	0	-nan
	 	 	21	2.40434e-08	3.28164e+11	9.26245e+06	0	0	-nan
	 	 	22	1.74071e-08	3.28164e+11	9.26245e+06	0	0	-nan
	 	 	23	1.2599e-08	3.28164e+11	9.26245e+06	0	0	-nan
	 	 	24	9.1263e-09	3.28164e+11	9.26245e+06	0	0	-nan
	 6	8.34315e-05	9.26245e+06	0.999611	0.0278912	0.0279021	0	-5.3795e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.28251e+11	9.26119e+06	0	0	-nan
	 	 	2	0.000313425	3.28148e+11	9.26138e+06	0	0	-nan
	 	 	3	8.21894e-05	3.28121e+11	9.26147e+06	0	0	-nan
	 	 	4	2.48659e-05	3.28113e+11	9.26152e+06	0	0	-nan
	 	 	5	8.98884e-06	3.2811e+11	9.26155e+06	0	0	-nan
	 	 	6	3.68692e-06	3.28109e+11	9.26157e+06	0	0	-nan
	 	 	7	1.63259e-06	3.28108e+11	9.26158e+06	0	0	-nan
	 	 	8	7.7534e-07	3.28108e+11	9.26159e+06	0	0	-nan
	 	 	9	4.08299e-07	3.28108e+11	9.2616e+06	0	0	-nan
	 	 	10	2.48461e-07	3.28108e+11	9.26161e+06	0	0	-nan
	 	 	11	1.74588e-07	3.28108e+11	9.26161e+06	0	0	-nan
	 	 	12	1.3474e-07	3.28108e+11	9.26161e+06	0	0	-nan
	 	 	13	1.07854e-07	3.28108e+11	9.26162e+06	0	0	-nan
	 	 	14	8.63323e-08	3.28108e+11	9.26162e+06	0	0	-nan
	 	 	15	6.79866e-08	3.28108e+11	9.26162e+06	0	0	-nan
	 	 	16	5.24358e-08	3.28108e+11	9.26162e+06	0	0	-nan
	 	 	17	3.96525e-08	3.28108e+11	9.26162e+06	0	0	-nan
	 	 	18	2.95015e-08	3.28108e+11	9.26162e+06	0	0	-nan
	 	 	19	2.16838e-08	3.28108e+11	9.26162e+06	0	0	-nan
	 	 	20	1.58077e-08	3.28108e+11	9.26162e+06	0	0	-nan
	 	 	21	1.1469e-08	3.28108e+11	9.26162e+06	0	0	-nan
	 	 	22	8.30344e-09	3.28108e+11	9.26162e+06	0	0	-nan
	 7	3.75507e-05	9.26162e+06	0.99982	0.0189692	0.0189726	0	-1.79317e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.2815e+11	9.26104e+06	0	0	-nan
	 	 	2	0.000150849	3.281e+11	9.26113e+06	0	0	-nan
	 	 	3	3.94029e-05	3.28087e+11	9.26117e+06	0	0	-nan
	 	 	4	1.19462e-05	3.28083e+11	9.26119e+06	0	0	-nan
	 	 	5	4.32558e-06	3.28082e+11	9.26121e+06	0	0	-nan
	 	 	6	1.76789e-06	3.28081e+11	9.26122e+06	0	0	-nan
	 	 	7	7.80467e-07	3.28081e+11	9.26122e+06	0	0	-nan
	 	 	8	3.7005e-07	3.28081e+11	9.26123e+06	0	0	-nan
	 	 	9	1.94702e-07	3.28081e+11	9.26123e+06	0	0	-nan
	 	 	10	1.18415e-07	3.28081e+11	9.26123e+06	0	0	-nan
	 	 	11	8.31702e-08	3.28081e+11	9.26123e+06	0	0	-nan
	 	 	12	6.41642e-08	3.28081e+11	9.26124e+06	0	0	-nan
	 	 	13	5.13473e-08	3.28081e+11	9.26124e+06	0	0	-nan
	 	 	14	4.10938e-08	3.28081e+11	9.26124e+06	0	0	-nan
	 	 	15	3.23575e-08	3.28081e+11	9.26124e+06	0	0	-nan
	 	 	16	2.49545e-08	3.28081e+11	9.26124e+06	0	0	-nan
	 	 	17	1.887e-08	3.28081e+11	9.26124e+06	0	0	-nan
	 	 	18	1.40389e-08	3.28081e+11	9.26124e+06	0	0	-nan
	 	 	19	1.03186e-08	3.28081e+11	9.26124e+06	0	0	-nan
	 	 	20	7.52227e-09	3.28081e+11	9.26124e+06	0	0	-nan
	 8	1.72028e-05	9.26124e+06	0.999916	0.0129361	0.0129372	0	-1.79317e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.28101e+11	9.26096e+06	0	0	-nan
	 	 	2	7.23148e-05	3.28077e+11	9.26101e+06	0	0	-nan
	 	 	3	1.89148e-05	3.28071e+11	9.26103e+06	0	0	-nan
	 	 	4	5.72756e-06	3.28069e+11	9.26104e+06	0	0	-nan
	 	 	5	2.06983e-06	3.28068e+11	9.26105e+06	0	0	-nan
	 	 	6	8.44795e-07	3.28068e+11	9.26105e+06	0	0	-nan
	 	 	7	3.72689e-07	3.28068e+11	9.26105e+06	0	0	-nan
	 	 	8	1.76671e-07	3.28068e+11	9.26106e+06	0	0	-nan
	 	 	9	9.29605e-08	3.28068e+11	9.26106e+06	0	0	-nan
	 	 	10	5.65381e-08	3.28068e+11	9.26106e+06	0	0	-nan
	 	 	11	3.97029e-08	3.28068e+11	9.26106e+06	0	0	-nan
	 	 	12	3.06207e-08	3.28068e+11	9.26106e+06	0	0	-nan
	 	 	13	2.44968e-08	3.28068e+11	9.26106e+06	0	0	-nan
	 	 	14	1.96005e-08	3.28068e+11	9.26106e+06	0	0	-nan
	 	 	15	1.5431e-08	3.28068e+11	9.26106e+06	0	0	-nan
	 	 	16	1.18992e-08	3.28068e+11	9.26106e+06	0	0	-nan
	 	 	17	8.99733e-09	3.28068e+11	9.26106e+06	0	0	-nan
	 9	8.00095e-06	9.26106e+06	0.999961	0.00881729	0.00881763	0	-1.79317e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.28078e+11	9.26093e+06	0	0	-nan
	 	 	2	3.46338e-05	3.28066e+11	9.26095e+06	0	0	-nan
	 	 	3	9.04327e-06	3.28063e+11	9.26096e+06	0	0	-nan
	 	 	4	2.73617e-06	3.28062e+11	9.26097e+06	0	0	-nan
	 	 	5	9.88826e-07	3.28062e+11	9.26097e+06	0	0	-nan
	 	 	6	4.03772e-07	3.28062e+11	9.26097e+06	0	0	-nan
	 	 	7	1.78297e-07	3.28062e+11	9.26097e+06	0	0	-nan
	 	 	8	8.46466e-08	3.28062e+11	9.26098e+06	0	0	-nan
	 	 	9	4.46159e-08	3.28062e+11	9.26098e+06	0	0	-nan
	 	 	10	2.71675e-08	3.28062e+11	9.26098e+06	0	0	-nan
	 	 	11	1.90812e-08	3.28062e+11	9.26098e+06	0	0	-nan
	 	 	12	1.47078e-08	3.28062e+11	9.26098e+06	0	0	-nan
	 	 	13	1.17571e-08	3.28062e+11	9.26098e+06	0	0	-nan
	 	 	14	9.40058e-09	3.28062e+11	9.26098e+06	0	0	-nan
	 10	3.75554e-06	9.26098e+06	0.999982	0.00597625	0.00597636	0	1.79317e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.28066e+11	9.26092e+06	0	0	-nan
	 	 	2	1.65681e-05	3.28061e+11	9.26093e+06	0	0	-nan
	 	 	3	4.32235e-06	3.2806e+11	9.26093e+06	0	0	-nan
	 	 	4	1.30795e-06	3.28059e+11	9.26093e+06	0	0	-nan
	 	 	5	4.73243e-07	3.28059e+11	9.26094e+06	0	0	-nan
	 	 	6	1.93655e-07	3.28059e+11	9.26094e+06	0	0	-nan
	 	 	7	8.5795e-08	3.28059e+11	9.26094e+06	0	0	-nan
	 	 	8	4.09153e-08	3.28059e+11	9.26094e+06	0	0	-nan
	 	 	9	2.16715e-08	3.28059e+11	9.26094e+06	0	0	-nan
	 	 	10	1.32404e-08	3.28059e+11	9.26094e+06	0	0	-nan
	 	 	11	9.30483e-09	3.28059e+11	9.26094e+06	0	0	-nan
	 11	1.77883e-06	9.26094e+06	0.999992	0.00398666	0.00398669	0	-1.79317e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.28061e+11	9.26091e+06	0	0	-nan
	 	 	2	7.87526e-06	3.28058e+11	9.26091e+06	0	0	-nan
	 	 	3	2.05535e-06	3.28058e+11	9.26092e+06	0	0	-nan
	 	 	4	6.23065e-07	3.28058e+11	9.26092e+06	0	0	-nan
	 	 	5	2.26293e-07	3.28057e+11	9.26092e+06	0	0	-nan
	 	 	6	9.31836e-08	3.28057e+11	9.26092e+06	0	0	-nan
	 	 	7	4.16709e-08	3.28057e+11	9.26092e+06	0	0	-nan
	 	 	8	2.01205e-08	3.28057e+11	9.26092e+06	0	0	-nan
	 	 	9	1.07971e-08	3.28057e+11	9.26092e+06	0	0	-nan
	 	 	10	6.65441e-09	3.28057e+11	9.26092e+06	0	0	-nan
	 12	8.17295e-07	9.26092e+06	0.999997	0.00255168	0.00255169	0	0	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.28058e+11	9.26091e+06	0	0	-nan
	 	 	2	3.73921e-06	3.28057e+11	9.26091e+06	0	0	-nan
	 	 	3	9.75974e-07	3.28057e+11	9.26091e+06	0	0	-nan
	 	 	4	2.96143e-07	3.28057e+11	9.26091e+06	0	0	-nan
	 	 	5	1.07801e-07	3.28057e+11	9.26091e+06	0	0	-nan
	 	 	6	4.45682e-08	3.28057e+11	9.26091e+06	0	0	-nan
	 	 	7	2.00536e-08	3.28057e+11	9.26091e+06	0	0	-nan
	 	 	8	9.76356e-09	3.28057e+11	9.26091e+06	0	0	-nan
	 13	3.93307e-07	9.26091e+06	0.999999	0.00143873	0.00143873	0	-3.58633e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.28057e+11	9.2609e+06	0	0	-nan
	 	 	2	1.78488e-06	3.28057e+11	9.26091e+06	0	0	-nan
	 	 	3	4.65714e-07	3.28056e+11	9.26091e+06	0	0	-nan
	 	 	4	1.41564e-07	3.28056e+11	9.26091e+06	0	0	-nan
	 	 	5	5.18038e-08	3.28056e+11	9.26091e+06	0	0	-nan
	 	 	6	2.16397e-08	3.28056e+11	9.26091e+06	0	0	-nan
	 	 	7	9.90606e-09	3.28056e+11	9.26091e+06	0	0	-nan
	 14	1.73144e-07	9.26091e+06	1	-nan	-nan	0	-1.79317e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.28057e+11	9.2609e+06	0	0	-nan
	 	 	2	7.72348e-07	3.28056e+11	9.2609e+06	0	0	-nan
	 	 	3	2.0361e-07	3.28056e+11	9.2609e+06	0	0	-nan
	 	 	4	6.24344e-08	3.28056e+11	9.2609e+06	0	0	-nan
	 	 	5	2.30544e-08	3.28056e+11	9.2609e+06	0	0	-nan
	 	 	6	9.75728e-09	3.28056e+11	9.2609e+06	0	0	-nan
	 15	9.05549e-08	9.2609e+06	1	-nan	-nan	0	-1.79317e-16	-nan
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	3.28056e+11	9.2609e+06	0	0	-nan
	 	 	2	3.04281e-07	3.28056e+11	9.2609e+06	0	0	-nan
	 	 	3	8.14296e-08	3.28056e+11	9.2609e+06	0	0	-nan
	 	 	4	2.52966e-08	3.28056e+11	9.2609e+06	0	0	-nan
